index,Name,DOI,Abstract,cluster,TSNE1,TSNE2
0,Recent advances in ammonia synthesis technologies: Toward future zero carbon emissions,http://dx.doi.org/10.1016/j.ijhydene.2022.09.061,abstractas carbon free molecule ammonia gained great global interest considered significant future candidate transition toward renewable energy numerous application ammonia fuel developed energy generation heavy transportation clean distributed energy storage clear global target achieve sustainable economy carbon neutrality therefore research effort concentrated generating cost effective renewable energy large rather fossil fuel however storage transportation still roadblock technology example hydrogen technology ammonia could replaced viable fuel clean sustainable future global energy effort government scientist lead making ammonia clean energy energy application ammonia synthesis assessed including conventional haber bosch current hydrogen technology key parameter ammonia generation also evaluated role ammonia hydrogen based fuel generation roadmap discussed future utilization energy mix ammonia generation process addressed depth including blue green ammonia generation survey ammonia synthesis catalytic material conducted role catalyst material ammonia generation compared showed ru based catalyst generated maximum ammonia h starting experiment end plan using ammonia clean energy fuel vehicle marine gas turbine well fuel cell briefly discussed recognize potential application ammonia practical future end vision energy source proposed achieve great benefit low carbon emission cost provide prospective knowledge large aspect environmental consideration ammonia herein conclude ammonia become clean energy carrier link achieve global energy economy sustainability target,6,-6.581641,6.9808016
1,Co doping regulating electronic structure of Bi2MoO6 to construct dual active sites for photocatalytic nitrogen fixation,http://dx.doi.org/10.1016/j.apcatb.2023.123057,abstractalthough nitrogen reduction reaction pnrr greenammonia synthesistechnology still encounter low adsorption n lack reaction site element doping efficient strategy regulate electronic structure catalyst nevertheless mechanism effect doping element n adsorption reaction energy barrier well unraveled taking co doped bi co bi photocatalyst density functional theory dft experiment study used investigate mechanism co doping pnrr performance bi dft result reveal co doping regulates electronic structure activates bi site co bi provides new co site thus constructing dual site pnrr benefited dual site effectively adsorption n fabricated co bi exhibit maximum generation rate μmol g h without sacrificial agent time bi furthermore detail mechanism nn adsorption hydrogenation reaction co bi also proposed according situ ftir dft result study provides promising strategy design catalyst dual site pnrr great significance popularization material system,4,-10.873858,1.4391438
2,"A Prompt Decarbonization Pathway for Shipping: Green Hydrogen, Ammonia, and Methanol Production and Utilization in Marine Engines",http://dx.doi.org/10.3390/atmos14030584,shipping reached higher level maturity term knowledge awareness decarbonization challenge carbon free carbon neutralized green fuel green hydrogen green ammonia green methanol widely discussed however little attention paid green fuel pathway renewable energy shipping paper therefore provides method green power green hydrogen green ammonia green methanol analyzes potential green fuel shipping show potential method green hydrogen green ammonia green methanol shipping hydrogen seawater electrolysis using green power ammonia green hydrogen haber bosch process methanol co using green power future green fuel bright short cost expected higher conventional fuel recommendation therefore follows improve green power reduce cost develop electrochemical fuel increase green fuel explore new strengthening research development renewable energy green fuel expanding fuel capacity ensure adequate supply low zero emission marine fuel important factor achieve carbon reduction shipping,6,-4.6858315,5.619667
3,Utilization of green ammonia as a hydrogen energy carrier for decarbonization in spark ignition engines,http://dx.doi.org/10.1016/j.ijhydene.2023.04.073,abstractrising concern dependence modern energy system fossil fuel raised requirement green alternate fuel pave roadmap sustainable energy future carbon free economy massive expectation hydrogen enabler decarbonization energy sector limited lack required infrastructure whose implementation affected issue related storage distribution hydrogen energy ammonia effective hydrogen energy carrier well established mature infrastructure long distance transportation distribution possibility green ammonia renewable energy source made suitable green alternate fuel decarbonization automotive power generation sector work engine characteristic ammonia combustion spark ignition engine reported detailed note engine fuelled pure ammonia well blend ammonia gasoline hydrogen methane higher auto ignition temperature low flammability lower flame speed ammonia detrimental effect engine characteristic could addressed either incorporating engine modification enhancing fuel quality literature show increase compression ratio improved maximum power addition hydrogen supercharged condition improved indicated challenge strategy utilization ammonia combustible fuel engine discussed considering need technical advancement well social acceptance energy green ammonia also discussed due note technique direct synthesis ammonia air water,6,-6.6302505,5.997898
4,Defective TiO2-x for High-Performance Electrocatalytic NO Reduction toward Ambient NH3 Production,http://dx.doi.org/10.1002/smll.202300291,synthesis green ammonia via electrolysis nitric oxide extraordinarily sustainable multielectron proton involved hydrogenation step well low concentration lead poor activity selectivity electrocatalysts herein reported oxygen defective nanoarray supported ti plate x behaves efficient catalyst reduction mphosphate buffered electrolyte x show competitive electrocatalytic synthesis activity maximum yield h faradaic density functional theory calculation thermodynamically faster deoxygenation protonation process x compared perfect low energy barrier x potential determining highlight greatly improved intrinsic activity addition zn battery fabricated x zn plate obtain yield h providing peak power density mw,4,-12.910054,-0.16142371
5,Techno-economic assessment of green hydrogen and ammonia production from wind and solar energy in Iran,http://dx.doi.org/10.1016/j.ijhydene.2022.12.285,abstractthis paper present comprehensive technical economic assessment potential green hydrogen ammonia plant different location strong wind solar resource study organized five step first regarding wind density solar pv potential data three location chosen highest wind power solar radiation combination wind solar energy location inland spot since produced ammonia planned exported must transported export harbor south comparison base case also considered next export harbor normal solar wind potential distance export harbor second similar large hydrogen facility proton exchange membrane electrolyzers modeled location using homer pro simulation platform next produced hydrogen nitrogen obtained air separation unit supplied haber bosch process synthesize ammonia hydrogen carrier since water electrolysis requires considerable amount water specific quality suffers water scarcity paper unlike many similar research study address challenge associated water supply system hydrogen process regard fourth study assumed seawater nearest sea treated desalination plant sent location finally since study intends evaluate possibility green hydrogen export detailed piping transportation water hydrogen ammonia export harbor created last considers rout using satellite image take account pump compression station required transport medium study provides realistic cost green hydrogen ammonia ready exported considering related process involved hydrogen supply chain,6,-2.113613,2.0452526
6,Estimating global production and supply costs for green hydrogen and hydrogen-based green energy commodities,http://dx.doi.org/10.1016/j.ijhydene.2022.12.046,abstractgreen energy commodity expected central decarbonising global energy system green energy commodity could hydrogen hydrogen based energy commodity produced renewable energy source re solar wind energy quantify cost potential hydrogen hydrogen based energy commodity ammonia methane methanol gasoline diesel kerosene country moreover evaluate total supply cost germany considering pipeline based maritime transport determine cost optimising investment operation dedicated re based country level re potential country specific weighted average cost capital analysing geographic distribution supply cost find cost dominate supply cost composition liquid easily liquefiable commodity transport cost dominate gaseous commodity case germany importing green ammonia could cost efficient domestic locally produced imported hydrogen green ammonia could supplied germany many region worldwide cost domestic cost ranging norway cheapest supplier ammonia using imported hydrogen spain could cost effective pan european hydrogen pipeline based repurposed natural gas pipeline exists,6,-3.770766,8.310531
7,"A Perspective on the Overarching Role of Hydrogen, Ammonia, and Methanol Carbon-Neutral Fuels towards Net Zero Emission in the Next Three Decades",http://dx.doi.org/10.3390/en16010280,arguably one important issue world facing currently climate change current rate fossil fuel consumption world heading towards extreme level global temperature rise immediate action taken transforming current energy system one largely based fossil fuel carbon neutral one requires unprecedented speed based current state development direct electrification future energy system alone technically challenging enough especially hard abate sector like heavy road trucking international shipping aviation leaf considerable alternative carbon neutral fuel green ammonia hydrogen renewable methanol perspective discus overarching role fuel reaching net zero emission within next three decade challenge future direction associated fuel conclude current perspective paper,6,-4.2382755,4.523247
8,The economics of global green ammonia trade - Shipping Australian wind and sunshine to Germany,http://dx.doi.org/10.1016/j.apenergy.2023.120662,abstractthis paper contributes understanding transformation global energy trade green energy carrier focusing green ammonia foreseeable first green hydrogen carrier provide comprehensive overview today ammonia trade ass scaling option trade green ammonia aim develop integrated assessment green ammonia value chain cover step green ammonia exporting country delivery harbor importing country endogenously chooses among different option determines cost minimal operation case study apply large import ammonia australia germany scenario result show green ammonia reach cost parity gray ammonia even moderate gas price necessarily blue ammonia co price high enough also provide sensitivity respect interest rate key technical economic parameter show cracking ammonia provide pure hydrogen come cost markup per mwh destination,6,-5.8007956,7.4897375
9,Techno-economic evaluation of hydrogen and ammonia as energy carriers in a multi-generation system,http://dx.doi.org/10.1016/j.enconman.2023.116670,abstractgreen hydrogen suitable energy storage increase penetration renewable energy also alternative fossil fuel however still suffers storage problem owing low volumetric energy density embrittlement low boiling point improve safety reduce cost green ammonia proposed substitute hydrogen attracted considerable attention study multi generation system proposed compare green hydrogen green ammonia energy carrier four scenario discussed performance different energy carrier constant electricity price operation compared optimal planning system formulated mixed integer linear programming evaluated using supply profile hourly objective maximize profitability reflected cumulative cash position payback result revealed hydrogen based system superior ammonia based system hydrogen based scenario cumulative cash position musd payback year cumulative cash position payback musd year respectively ammonia based scenario improve profitability recommended increase capacity hydrogen ammonia reduce capacity backup power generation,6,-6.1698837,8.987334
